,name,address,extAddress,locality,postalCode,country,openingDays,openingHours
0,Vigeland Museum,Nobels gate 32,['Frogner Park'],Oslo,['0268'],['Norway'],['\nTue - Sun\n'],['12:00 pm - 4:00 pm']
1,The Norwegian National Opera & Ballet,Kirsten Flagstads Pl. 1,[],Oslo,['0150'],['Norway'],"['\nSun\n', '\nMon - Fri\n', '\nSat\n']","['12:00 pm - 6:00 pm', '10:00 am - 8:00 pm', '11:00 am - 6:00 pm']"
2,Fram Polar Ship Museum,Bygdoeynesveien 39,[],Oslo,['0286'],['Norway'],['\nSun - Sat\n'],['10:00 am - 6:00 pm']
3,Vigelandsparken,Nobels gate 32,[],Oslo,['0268'],['Norway'],[],[]
4,The Norwegian Museum of Cultural History,Museumsveien 10,[],Oslo,['0287'],['Norway'],"['\nMon - Fri\n', '\nSat - Sun\n']","['11:00 am - 3:00 pm', '11:00 am - 4:00 pm']"
5,Bygdoy Peninsula,"Bygdoy, Oslo",[],Oslo,['0286'],['Norway'],[],[]
6,Holmenkollen Ski Museum and Ski Jump Tower,Kongeveien 5,[],Oslo,['0787'],['Norway'],['\nSun - Sat\n'],['10:00 am - 4:00 pm']
7,National Museum - National Gallery,Universitetsgaten 13 (city centre),[],Oslo,[],['Norway'],"['\nTue - Wed\n', '\nThu\n', '\nFri\n', '\nSat - Sun\n']","['10:00 am - 6:00 pm', '10:00 am - 7:00 pm', '10:00 am - 6:00 pm', '11:00 am - 5:00 pm']"
8,The Viking Ship Museum,Huk Aveny 35,[],Oslo,['0287'],['Norway'],['\nSun - Sat\n'],['9:00 am - 6:00 pm']
9,Oslo Fjord,,[],Oslo,[],['Norway'],[],[]
10,Kon-Tiki Museum,Bygdoeynesveien 36,[],Oslo,['0286'],['Norway'],['\nSun - Sat\n'],['9:30 am - 6:00 pm']
11,Frogner Park,Kirkeveien,[],Oslo,['0268'],['Norway'],[],[]
12,Aker Brygge,Bydel Aker Brygge Grundingen 6,[],Oslo,['0250'],['Norway'],[],[]
13,Sognsvann Lake,Sognsveien 235,[],Oslo,['0863'],['Norway'],[],[]
14,Norwegian Museum of Technology,Kjelsaasveien 143,[],Oslo,['0491'],['Norway'],"['\nTue - Fri\n', '\nSat - Sun\n']","['9:00 am - 4:00 pm', '11:00 am - 6:00 pm']"
15,Norway's Resistance Museum (Norges Hjemmefront Museum),Bygning 21,['Festning'],Oslo,['0015'],['Norway'],"['\nMon - Fri\n', '\nSat - Sun\n']","['10:00 am - 4:00 pm', '11:00 am - 4:00 pm']"
16,Oslo City Hall (Oslo Radhus),Fridtjof Nansens plass,[],Oslo,['0037'],['Norway'],['\nSun - Sat\n'],['9:00 am - 4:00 pm']
17,Botanical Gardens (Botanisk Hage og Museum),Sars Gate 1,[],Oslo,[],['Norway'],[],[]
18,Oslo Visitor Centre,Jernbanetorget 1,['Inside Ostbanehallen'],Oslo,['0154'],['Norway'],['\nSun - Sat\n'],['9:00 am - 6:00 pm']
19,Akershus Castle and Fortress (Akershus Slott og Festning),Fesningsplassen,[],Oslo,[],['Norway'],[],[]
20,Ekebergparken,Kongsveien 23,['0193'],Oslo,['0193'],['Norway'],[],[]
21,Nordmarka,Nordmarka,[],Oslo,['890'],['Norway'],[],[]
22,Karl Johans gate,Karl Johans Gate,[],Oslo,[],['Norway'],[],[]
23,The Nobel Peace Center,Brynjulf Bulls Plass 1,['City Hall Square'],Oslo,['0250'],['Norway'],['\nTue - Sun\n'],['10:00 am - 6:00 pm']
24,The Royal Palace,Slottsplassen 1,[],Oslo,['0010'],['Norway'],[],[]
25,Oslomarka,Oslo ost,['Frognerseteren'],Oslo,['687'],['Norway'],[],[]
26,Astrup Fearnley Museet,Strandpromenaden 2,[],Oslo,['0252'],['Norway'],"['\nTue - Wed\n', '\nThu\n', '\nFri\n', '\nSat - Sun\n']","['12:00 pm - 5:00 pm', '12:00 pm - 7:00 pm', '12:00 pm - 5:00 pm', '11:00 am - 5:00 pm']"
27,Oestbanehallen,Jernbanetorget 1,[],Oslo,['0154'],['Norway'],[],[]
28,Hovedoya,Hovedoya,[],Oslo,['102'],['Norway'],[],[]
29,Sporveien T-Banen,,[],Oslo,[],['Norway'],['\nMon - Fri\n'],['8:00 am - 4:00 pm']
30,The Norwegian Parliament,Karl Johans gate 22,[],Oslo,['0026'],['Norway'],[],[]
31,Oscarsborg Fortress,Drobaksundet,[],Oslo,['1443'],['Norway'],[],[]
32,,,[],,[],[],[],[]
33,Drobak,Drobak,[],Oslo,[],['Norway'],[],[]
34,Korketrekkeren,Frognerseteren,[],Oslo,['2004'],['Norway'],[],[]
35,Munch Museum,Toeyengata 53,[],Oslo,['0578'],['Norway'],['\nSun - Sat\n'],['10:00 am - 5:00 pm']
36,Akerselva River,Maridalsvannet - Oslo,[],Oslo,[],['Norway'],[],[]
37,Oslo Cathedral (Oslo Domkirke),Stortorvet 1,[],Oslo,['0155'],['Norway'],['\nSun - Sat\n'],['10:00 am - 4:00 pm']
38,Grunerlokka,,[],Oslo,[],['Norway'],[],[]
39,,,[],,[],[],[],[]
40,,,[],,[],[],[],[]
