waypoint1	waypoint2	distance_m	duration_s
Universitetsgaten 13 (city centre), Oslo	Kirsten Flagstads Pl. 1, Oslo	1087	832
Nobels gate 32, Oslo	nan, Oslo	3607	2646
Museumsveien 10, Oslo	Kongeveien 5, Oslo	7626	6600
Bygdoy, Oslo, Oslo	nan, Oslo	5185	3853
Kongeveien 5, Oslo	Kirsten Flagstads Pl. 1, Oslo	9121	7760
Museumsveien 10, Oslo	Kirsten Flagstads Pl. 1, Oslo	5823	4461
Museumsveien 10, Oslo	Bygdoy, Oslo, Oslo	513	401
Museumsveien 10, Oslo	Universitetsgaten 13 (city centre), Oslo	5556	4144
Huk Aveny 35, Oslo	Universitetsgaten 13 (city centre), Oslo	6019	4585
Nobels gate 32, Oslo	Bygdoeynesveien 39, Oslo	4092	3145
Bygdoeynesveien 39, Oslo	Kirsten Flagstads Pl. 1, Oslo	7298	5516
Bygdoeynesveien 39, Oslo	Bygdoy, Oslo, Oslo	1988	1530
Nobels gate 32, Oslo	Kongeveien 5, Oslo	5890	5260
Huk Aveny 35, Oslo	nan, Oslo	6018	4487
Kongeveien 5, Oslo	Bygdoy, Oslo, Oslo	7113	6199
Nobels gate 32, Oslo	Bygdoy, Oslo, Oslo	2247	1709
Nobels gate 32, Oslo	Universitetsgaten 13 (city centre), Oslo	3607	2646
Bygdoy, Oslo, Oslo	Kirsten Flagstads Pl. 1, Oslo	5453	4204
Museumsveien 10, Oslo	Huk Aveny 35, Oslo	463	346
Bygdoy, Oslo, Oslo	Universitetsgaten 13 (city centre), Oslo	5185	3853
Kongeveien 5, Oslo	Universitetsgaten 13 (city centre), Oslo	8720	6135
Kongeveien 5, Oslo	Huk Aveny 35, Oslo	8001	5908
Bygdoeynesveien 39, Oslo	Kongeveien 5, Oslo	9101	7729
Kongeveien 5, Oslo	nan, Oslo	8720	6135
Bygdoeynesveien 39, Oslo	Universitetsgaten 13 (city centre), Oslo	7031	5273
Nobels gate 32, Oslo	Huk Aveny 35, Oslo	3080	2311
Nobels gate 32, Oslo	Museumsveien 10, Oslo	2617	1966
Huk Aveny 35, Oslo	Kirsten Flagstads Pl. 1, Oslo	6285	4807
Huk Aveny 35, Oslo	Bygdoy, Oslo, Oslo	975	713
Museumsveien 10, Oslo	nan, Oslo	5556	4144
nan, Oslo	Kirsten Flagstads Pl. 1, Oslo	1087	832
nan, Oslo	Universitetsgaten 13 (city centre), Oslo	0	0
Nobels gate 32, Oslo	Kirsten Flagstads Pl. 1, Oslo	3874	3013
Bygdoeynesveien 39, Oslo	nan, Oslo	7031	5273
Museumsveien 10, Oslo	Bygdoeynesveien 39, Oslo	1475	1129
Bygdoeynesveien 39, Oslo	Huk Aveny 35, Oslo	1141	884
